user,followers_count,friends_count,retweet_count,favorite_count,text
AlexisBadenMaye,1627,5000,30,0,RT @BillyBostickson: Hong Kong researchers find early COVID-19 mutant strain with characteristics of attenuated vaccine https://t.co/8l3QA3…
aarnavg17,439,2480,0,1,@_ChristopherM @brian_shoots I need to return to my college in Hong Kong asap. Travel restrictions are making it im… https://t.co/JXBd8czxHM
7thSpaceCom,3465,801,0,0,News: Hong Kong: 1.95m vaccine jabs administered - https://t.co/q1AVrrAsHV
AirMshlRkalim,615,494,0,0,Nearly 2m vaccine jabs given in Hong Kong | Hong Kong | China Daily https://t.co/kAyXjWtw7i
AlbertMylesAM,2969,4770,0,0,Nearly 2M Vaccine Jabs Given In Hong Kong | Hong Kong | China Daily https://t.co/WiAJ4k1jUl
playpet1,240,342,0,3,"@fulmineum @MattHancock You can have my vaccine, I’ve had SARS when I lived in Hong Kong and I have had Covid .. it… https://t.co/jO5hOcrtzF"
njstone9,3697,4417,0,1,"@v_j_freeman Studies like this are crucial to allowing vaccinated people freedom to travel and not wear masks, part… https://t.co/xri8sLYxy8"
BSquiri,83,180,0,0,@cliffbuddle 3 weeks in jail or a phase 2-3 clinical trial lab rat to get into Hong Kong means you can forget Hong… https://t.co/5I8W0QSB3n
NFSC20,121,245,30,0,RT @BillyBostickson: Hong Kong researchers find early COVID-19 mutant strain with characteristics of attenuated vaccine https://t.co/8l3QA3…
JournoDannyAero,13222,5463,0,4,Exactly. IIRC aircrew on Hong Kong need a couple days off work due to the side effects so getting a vaccine mid-tri… https://t.co/zJS5rO6For
ActivistBowen2,3819,5001,0,0,"@ActionTime 4. a) on the other hand, VACCINE HESITANCY in HONG KONG is EXTREME...,(May 16, 2021; 1:28 EDT) #VACCINEHESITANCY #HONGKONG #HK"
cassandraxhk,721,158,20,0,"RT @TIME: Hong Kong is testing out a vaccine passport for bars. Will it boost lackluster vaccination rates?
https://t.co/Du4Qi344jG"
30minly,1435,260,0,1,"Hong Kong vaccine bubble concept 
complicated af 
would still need to quarantine (7-21 days)
but entry only if full… https://t.co/hfPCBcSwHp"
Real_Infinity95,5507,2331,20,0,"RT @TIME: Hong Kong is testing out a vaccine passport for bars. Will it boost lackluster vaccination rates?
https://t.co/Du4Qi344jG"
calin_a,833,1183,20,0,"RT @TIME: Hong Kong is testing out a vaccine passport for bars. Will it boost lackluster vaccination rates?
https://t.co/Du4Qi344jG"
JoshepAyya,336,382,0,0,"TIME ""Hong Kong is testing out a vaccine passport for bars. Will it boost lackluster vaccination rates?
https://t.co/KcpwKqbFsm"""
manifestoagogo,5,115,0,0,"@MonicaGandhi9 I think you're missing the problem about countries that have ""done well"". Hong Kong doesn't need vac… https://t.co/g0fTXJ88gH"
Coloradorobin,173,761,0,0,Unused Shots Pile Up as Mistrust Mars Hong Kong Vaccinations #DigitalHealth #digital #health via… https://t.co/h1AFoRLzpp
percayaNgl,614,1161,20,0,"RT @TIME: Hong Kong is testing out a vaccine passport for bars. Will it boost lackluster vaccination rates?
https://t.co/Du4Qi344jG"
Hypokaliemiaboy,1,47,0,0,"Coronavirus: ‘vaccine bubble’ incentives aren’t enough, Hong Kong must get creative to dispel rumours, share facts… https://t.co/cQLmMhcjei"
ofarry,5005,2396,4,0,RT @Diplomat_APAC: Hong Kong is one of the easiest places in the world to get a vaccine and access to public health services. Unless you’re…
hkdemonow,21712,3934,4,0,RT @Diplomat_APAC: Hong Kong is one of the easiest places in the world to get a vaccine and access to public health services. Unless you’re…
razavib657,178,552,20,0,"RT @TIME: Hong Kong is testing out a vaccine passport for bars. Will it boost lackluster vaccination rates?
https://t.co/Du4Qi344jG"
hagiwararyu11,335,26,0,0,TIMEさんからRT:　Hong Kong is testing out a vaccine passport for bars. Will it boost lackluster vaccination rates?… https://t.co/b9m2zsH5fx
0wVs0j6sosAkhgm,2,19,20,0,"RT @TIME: Hong Kong is testing out a vaccine passport for bars. Will it boost lackluster vaccination rates?
https://t.co/Du4Qi344jG"
eztango,39,9,0,0,https://t.co/AGfA9WUKV0 (LV.11) Hong Kong Is Testing a Vaccine Passport — Will It Work? | Time https://t.co/sOg6vRvsbR
joansths1,1456,4985,20,0,"RT @TIME: Hong Kong is testing out a vaccine passport for bars. Will it boost lackluster vaccination rates?
https://t.co/Du4Qi344jG"
Death2FakePeeps,288,2252,20,0,"RT @TIME: Hong Kong is testing out a vaccine passport for bars. Will it boost lackluster vaccination rates?
https://t.co/Du4Qi344jG"
Passionflower99,647,1556,20,0,"RT @TIME: Hong Kong is testing out a vaccine passport for bars. Will it boost lackluster vaccination rates?
https://t.co/Du4Qi344jG"
Karolien1231,2079,2641,0,1,"""For those who have been full vaccinated"". Le passport vaccinale crée deux vitesses sans l'alternative valable du t… https://t.co/DBvAsXFTx7"
SyouG,456,88,20,0,"RT @TIME: Hong Kong is testing out a vaccine passport for bars. Will it boost lackluster vaccination rates?
https://t.co/Du4Qi344jG"
