index,Participant No.,Scene No.,Text Cond.,Audio Cond.,ROI category,Saccade Count,Total Saccade Distance,Average Saccade Distance,Total Saccade Duration,Average Saccade Duration
187,exp_17,Scene8,On,On,Others,30,16.32550750667075,0.5441835835556916,27.33999999999999,0.911333333333333
188,exp_17,Scene8,On,On,Text,141,24.17464356301506,0.17145137278734085,38.3,0.27163120567375887
189,exp_17,Scene8,On,On,Urban,15,2.682538973224906,0.17883593154832708,5.820000000000011,0.38800000000000073
190,exp_18,Scene1,On,On,Culturual  Heritage,137,34.852624867356056,0.25439872165953326,24.840000000000018,0.1813138686131388
191,exp_18,Scene1,On,On,Others,1,0.15208592965820344,0.15208592965820344,0.23999999999999488,0.23999999999999488
192,exp_18,Scene1,On,On,Tamed nature,2,0.5645529872932189,0.28227649364660945,0.6599999999999984,0.3299999999999992
193,exp_18,Scene1,On,On,Text,106,22.20009688372178,0.20943487626152624,23.299999999999976,0.21981132075471677
194,exp_18,Scene1,On,On,Urban,17,4.859336537687585,0.28584332574632854,6.480000000000007,0.38117647058823567
195,exp_18,Scene2,Off,Off,Culturual  Heritage,138,29.29707408432363,0.21229763829220022,30.340000000000014,0.21985507246376823
196,exp_18,Scene2,Off,Off,Nature,47,7.944093833909736,0.16902327306190926,13.720000000000013,0.29191489361702155
197,exp_18,Scene2,Off,Off,Others,25,4.6822122045493515,0.18728848818197405,6.139999999999977,0.24559999999999907
198,exp_18,Scene2,Off,Off,Tamed nature,43,8.248687482638791,0.19182994145671609,9.900000000000029,0.23023255813953555
199,exp_18,Scene3,Off,On,Culturual  Heritage,142,30.519291864428023,0.21492459059456354,32.959999999999965,0.23211267605633779
200,exp_18,Scene3,Off,On,Others,16,2.908285280165217,0.18176783001032606,5.139999999999988,0.32124999999999926
201,exp_18,Scene3,Off,On,Tamed nature,23,5.436634568946947,0.2363754160411716,7.6399999999999935,0.332173913043478
202,exp_18,Scene3,Off,On,Urban,57,16.810201252589355,0.294915811448936,17.08000000000002,0.2996491228070179
203,exp_18,Scene4,On,Off,Culturual  Heritage,114,24.178913880354315,0.2120957357925817,21.060000000000024,0.18473684210526337
204,exp_18,Scene4,On,Off,Others,11,2.851633906639613,0.25923944605814664,3.6000000000000085,0.32727272727272805
205,exp_18,Scene4,On,Off,Tamed nature,32,12.43484939638679,0.3885890436370872,9.320000000000006,0.2912500000000002
206,exp_18,Scene4,On,Off,Text,64,12.885600560503159,0.20133750875786185,15.139999999999993,0.2365624999999999
207,exp_18,Scene4,On,Off,Urban,32,11.39074116955073,0.3559606615484603,10.96000000000001,0.3425000000000003
