user,followers_count,friends_count,retweet_count,favorite_count,text
intannsyahidah,824,501,0,0,"Israel buat vaccine so kene jadi antivac. What theeeeeeeeeeeeeeeee, kalau takut kene injection cakap jer okay"
luciano74121,204,1696,0,0,"“Israel’s denial vaccine to Palestinian prisoners is an act of racism,” Palestinian group says https://t.co/1XeGm7Em6b"
joshuarolson,9862,587,0,1,@airikkah @joubran98 @kudrinko97 Israel IS the bad guy in this. They destroyed the COVID vaccine facility and the h… https://t.co/PWBFWX9dNO
faceintheccrowd,114,466,33,0,"RT @TAlnawaiseh: While #israel has the highest number of people receiving the #covid vaccine worldwide, it has deprived Palestinians of the…"
SpringGombe,547,1061,138,0,"RT @ChelseaClinton: We could be making #covid19 vaccines in more places (potentially in Bangladesh, Canada, Denmark, Indonesia, Israel, Pak…"
GrandSachoir,214,151,0,0,"@JeanBN3 @f_philippot Arrêter ? Pourquoi ? Tous les pays qui ont vacciné massivement s'en sortent (USA, Israël, UK)… https://t.co/ph3CPWKvHU"
kilicaslankaya,541,4895,0,1,"@StateDeptSpox Israel even bombed the only corona testing center. ! These people have neither vaccine nor test, bom… https://t.co/RpQ6iLyRk8"
AmmarSyed786,150,337,39,0,RT @MusaubKhanMD: Israel’s vaccination success is predicated on denying Palestinians the vaccine. When Israel vaccinated 50% of their popul…
39tsuboyan,119,140,0,1,"ファイザー製ワクチン、慢性病患者にも有効＝イスラエル研究 https://t.co/EwMme3hGUd

#サキドリちゃん"
amiaishhh,176,251,51,0,RT @xunnysideup_: @kasihirisleona gurl if israel yg buat vaccine tu don’t you think our government wouldve already taken action in the firs…
atiamatrawi,319,408,0,0,Israel top for Covid 19 vaccine doses given per 100 people which 121% So kalau nk cakap agenda yahudi tu cant relat… https://t.co/wGGnzVH1YM
rdphari,102,179,35,0,RT @DrBryanLeyva: Imagine having the audacity to call Israel a “model” for COVID-19 vaccination when they have the greatest vaccine ethnic…
CovidSupportSA,839,425,138,0,"RT @ChelseaClinton: We could be making #covid19 vaccines in more places (potentially in Bangladesh, Canada, Denmark, Indonesia, Israel, Pak…"
TowTruckNews,2566,965,0,0,Live breaking news: Vaccine doubt threatens border reopening; Shark caught morning after surfer killed at NSW beach… https://t.co/QO9UMYkweo
balqiszrlnzm,56,108,0,0,@amsyarmdnoor takde. ada ke member aku cakap dekat post vaccine/ swab test aku semalam. kat Malaysia org tgh sibuk… https://t.co/YySOq5NAYp
swziqm,258,229,51,0,RT @xunnysideup_: @kasihirisleona gurl if israel yg buat vaccine tu don’t you think our government wouldve already taken action in the firs…
kamilavocado,740,175,0,0,israel pun amik vaccine orang depa buat vaccine celah mana...... https://t.co/YJW1CheAwr
cathyjones173,539,383,9,0,"RT @spectator: ‘If we want to credit the NHS for what went well during the pandemic, it must also be permissible to talk about its role in…"
Ireland2020,3515,908,1,0,RT @acacia_the: @AlastairMcA30 @naomirwolf @AlexBerenson Why do you persist in spreading misinformation about Covid? In amplifying grifters…
